Location,Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
Thredbo,2012 - 2013,"94""",12 days,"18""","33""","20"""
Thredbo,2013 - 2014,"104""",26 days,"8""","24""","14"""
Thredbo,2014 - 2015,"75""",14 days,"52""","66""","20"""
Thredbo,2015 - 2016,"63""",27 days,"34""","58""","12"""
Thredbo,2016 - 2017,"119""",17 days,"44""","71""","28"""
Thredbo,2017 - 2018,"98""",21 days,"44""","94""","28"""
Thredbo,2018 - 2019,"78""",18 days,"57""","88""","13"""
Thredbo,2019 - 2020,"80""",15 days,"38""","55""","24"""
Thredbo,2020 - 2021,"10""",4 days,"4""","4""","6"""
Thredbo,2021 - 2022,"93""",17 days,"0""","16""",
Thredbo,2022 - 2023,"84""",26 days,"27""","33""","11"""
Thredbo,2023 - 2024,"65""",24 days,"16""","20""","14"""
Thredbo,2024 - 2025,"52""",16 days,"14""","20""","13"""
Perisher,2012 - 2013,"86""",14 days,"35""","47""","12"""
Perisher,2013 - 2014,"3""",3 days,"34""","73""","1"""
Perisher,2014 - 2015,"104""",14 days,"49""","66""","28"""
Perisher,2015 - 2016,"79""",29 days,"35""","58""","12"""
Perisher,2016 - 2017,"144""",26 days,"46""","62""","19"""
Perisher,2017 - 2018,"78""",23 days,"49""","94""","16"""
Perisher,2018 - 2019,"88""",22 days,"52""","88""","12"""
Perisher,2019 - 2020,"67""",12 days,"50""","89""","13"""
Perisher,2020 - 2021,"11""",3 days,"0""","6""",
Perisher,2021 - 2022,"94""",23 days,"0""","20""",
Perisher,2022 - 2023,"98""",29 days,"29""","35""","12"""
Perisher,2023 - 2024,"83""",25 days,"20""","24""","12"""
Perisher,2024 - 2025,"55""",20 days,"11""","24""","10"""
Mt. Buller,2012 - 2013,"57""",13 days,"12""","33""","11"""
Mt. Buller,2013 - 2014,"17""",1 Day,"10""","33""","17"""
Mt. Buller,2014 - 2015,"56""",18 days,"28""","43""","13"""
Mt. Buller,2015 - 2016,"34""",23 days,"24""","39""","4"""
Mt. Buller,2016 - 2017,"67""",23 days,"18""","36""","10"""
Mt. Buller,2017 - 2018,"58""",20 days,"36""","75""","11"""
Mt. Buller,2018 - 2019,"48""",20 days,"35""","65""","8"""
Mt. Buller,2019 - 2020,"45""",12 days,"15""","24""","9"""
Mt. Buller,2020 - 2021,"7""",4 days,"0""","4""",
Mt. Buller,2021 - 2022,"56""",21 days,"25""","33""","8"""
Mt. Buller,2022 - 2023,"79""",22 days,"24""","37""","13"""
Mt. Buller,2023 - 2024,"55""",24 days,"12""","22""","9"""
Mt. Buller,2024 - 2025,"34""",12 days,"11""","22""","11"""
Falls Creek,2012 - 2013,"55""",12 days,"29""","39""","9"""
Falls Creek,2013 - 2014,"0""",0 days,"24""","59""","0"""
Falls Creek,2014 - 2015,"82""",16 days,"36""","63""","16"""
Falls Creek,2015 - 2016,"37""",21 days,"24""","44""","4"""
Falls Creek,2016 - 2017,"104""",24 days,"33""","51""","13"""
Falls Creek,2017 - 2018,"67""",22 days,"42""","85""","12"""
Falls Creek,2018 - 2019,"64""",19 days,"51""","85""","10"""
Falls Creek,2019 - 2020,"61""",17 days,"22""","44""","19"""
Falls Creek,2021 - 2022,"47""",19 days,"28""","54""","6"""
Falls Creek,2022 - 2023,"69""",24 days,"36""","56""","14"""
Falls Creek,2023 - 2024,"87""",25 days,"20""","38""","12"""
Falls Creek,2024 - 2025,"52""",21 days,"12""","31""","13"""
Mt. Hotham,2012 - 2013,"68""",13 days,"33""","47""","12"""
Mt. Hotham,2013 - 2014,"0""",0 days,"17""","56""","0"""
Mt. Hotham,2014 - 2015,"69""",20 days,"31""","42""","16"""
Mt. Hotham,2015 - 2016,"48""",30 days,"34""","57""","6"""
Mt. Hotham,2016 - 2017,"80""",22 days,"33""","48""","12"""
Mt. Hotham,2017 - 2018,"75""",27 days,"42""","79""","10"""
Mt. Hotham,2018 - 2019,"79""",25 days,"50""","85""","9"""
Mt. Hotham,2019 - 2020,"63""",18 days,"27""","43""","11"""
Mt. Hotham,2021 - 2022,"61""",25 days,"12""","8""",
Mt. Hotham,2022 - 2023,"99""",34 days,"25""","34""","20"""
Mt. Hotham,2023 - 2024,"77""",28 days,"19""","35""","11"""
Mt. Hotham,2024 - 2025,"52""",18 days,"13""","21""","12"""
Mt. Baw Baw,2012 - 2013,"35""",12 days,"5""","10""","8"""
Mt. Baw Baw,2013 - 2014,"0""",0 days,"4""","4""","0"""
Mt. Baw Baw,2014 - 2015,"39""",9 days,"9""","23""","9"""
Mt. Baw Baw,2015 - 2016,"39""",16 days,"20""","37""","6"""
Mt. Baw Baw,2016 - 2017,"31""",14 days,"4""","18""","7"""
Mt. Baw Baw,2017 - 2018,"0.4""",1 Day,"14""","28""","0.4"""
Mt. Baw Baw,2018 - 2019,"13""",4 days,"14""","26""","8"""
Mt. Baw Baw,2019 - 2020,"21""",13 days,"20""","39""","7"""
Mt. Baw Baw,2020 - 2021,"13""",2 days,"0""","8""",
Mt. Baw Baw,2021 - 2022,"41""",15 days,"16""","22""","14"""
Mt. Baw Baw,2022 - 2023,"37""",17 days,"9""","19""","5"""
Mt. Baw Baw,2023 - 2024,"37""",15 days,"0""","10""",
Mt. Baw Baw,2024 - 2025,"28""",13 days,"0""","8""",
Charlotte,2012 - 2013,"40""",10 days,"38""","46""","12"""
Charlotte,2013 - 2014,"4""",2 days,"35""","72""","3"""
Charlotte,2014 - 2015,"77""",11 days,"53""","66""","20"""
Charlotte,2015 - 2016,"115""",31 days,"36""","58""","12"""
Charlotte,2016 - 2017,"130""",35 days,"43""","62""","16"""
Charlotte,2017 - 2018,"126""",12 days,"52""","94""","28"""
Charlotte,2018 - 2019,"88""",22 days,"30""","31""","14"""
Charlotte,2019 - 2020,"69""",12 days,"54""","89""","30"""
Charlotte,2020 - 2021,"7""",2 days,"0""","6""",
Charlotte,2021 - 2022,"50""",14 days,"0""","16""",
Charlotte,2022 - 2023,"77""",19 days,"0""","14""",
Charlotte,2023 - 2024,"100""",25 days,"0""","22""",
Charlotte,2024 - 2025,"54""",17 days,"0""","10""",
Selwyn,2012 - 2013,"37""",10 days,"15""","31""","13"""
Selwyn,2013 - 2014,"0""",0 days,"9""","22""","0"""
Selwyn,2014 - 2015,"52""",12 days,"25""","33""","14"""
Selwyn,2015 - 2016,"43""",20 days,"9""","18""","8"""
Selwyn,2016 - 2017,"54""",16 days,"15""","24""","8"""
Selwyn,2017 - 2018,"64""",14 days,"5""","10""","16"""
Selwyn,2018 - 2019,"33""",12 days,"24""","52""","10"""
Selwyn,2019 - 2020,"31""",9 days,"22""","39""","11"""
Selwyn,2023 - 2024,"11""",12 days,"0""","2""",
Selwyn,2024 - 2025,"11""",6 days,"0""","4""",